No,Nama,URL Asli,Likes,Done,Worker,Explanation
253,Pangek Ikan Nila,https://resepkoki.id/resep/resep-pangek-ikan-nila/,1078,No,,
254,Ikan Gurame Bakar Madu,https://resepkoki.id/resep/resep-ikan-gurame-bakar-madu/,1151,No,,
255,Gulai Ikan Tongkol,https://resepkoki.id/resep/resep-gulai-ikan-tongkol/,1118,No,,
256,Kakap Bumbu Kuning,https://resepkoki.id/resep/resep-kakap-bumbu-kuning/,1298,No,,
257,Ikan Salai Asap Balado,https://resepkoki.id/resep/resep-ikan-salai-asap-balado/,1589,No,,
258,Cakalang Fufu Pampis,https://resepkoki.id/resep/resep-cakalang-fufu-pampis/,1343,No,,
259,Pempek Sutra,https://resepkoki.id/resep/resep-pempek-sutra/,1391,No,,
260,Tenggiri Lempah Kuning,https://resepkoki.id/resep/resep-tenggiri-lempah-kuning/,1320,No,,
261,Gurame Bumbu Rujak,https://resepkoki.id/resep/resep-gurame-bumbu-rujak/,1370,No,,
262,Nugget Ikan,https://resepkoki.id/resep/resep-nugget-ikan/,1428,No,,
263,Sambal Goreng Kentang Udang,https://resepkoki.id/resep/resep-sambal-goreng-kentang-udang/,1429,No,,
264,Kerang Dara Asam Manis,https://resepkoki.id/resep/resep-kerang-dara-asam-manis/,1413,No,,
265,Pempek Lenggang,https://resepkoki.id/resep/resep-pempek-lenggang/,1558,No,,
266,Kerang Dara Rebus,https://resepkoki.id/resep/resep-kerang-dara-rebus/,1057,No,,
267,Ikan Tenggiri Bumbu Kuning,https://resepkoki.id/resep/resep-ikan-tenggiri-bumbu-kuning/,1110,No,,
268,Pecak Lele,https://resepkoki.id/resep/resep-pecak-lele/,1097,No,,
269,Pepes Peda,https://resepkoki.id/resep/resep-pepes-peda/,1133,No,,
270,Ikan Kerapu Asam Manis,https://resepkoki.id/resep/resep-ikan-kerapu-asam-manis/,1143,Yes,Garda,
271,Sambal Udang Goreng Petai,https://resepkoki.id/resep/resep-sambal-udang-goreng-petai/,1107,No,,
272,Gulai Aceh Ikan Tongkol,https://resepkoki.id/resep/resep-gulai-aceh-ikan-tongkol/,1142,No,,
273,Udang Bakar Madu,https://resepkoki.id/resep/resep-udang-bakar-madu/,1142,No,,
274,Ikan Bawal Bakar,https://resepkoki.id/resep/resep-ikan-bawal-bakar/,1618,No,,
275,Salmon Teriyaki,https://resepkoki.id/resep/resep-salmon-teriyaki/,1614,Yes,Garda,
276,Lele Bakar,https://resepkoki.id/resep/resep-lele-bakar/,1638,No,,
277,Ikan Bawal Bumbu Kuning,https://resepkoki.id/resep/resep-ikan-bawal-bumbu-kuning/,1210,No,,
278,Pempek Lenjer,https://resepkoki.id/resep/resep-pempek-lenjer/,1576,No,,
